1638656

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.99              8.13              7.25             46.80
2                      12.35              8.53              7.67             50.23
4                      12.14              8.64              7.81             55.14
8                      11.76              8.26              7.43             52.82
16                     11.90              8.03              7.23             46.51
32                     12.26              8.38              7.52             48.34
64                     12.28              8.35              7.58             48.12
128                    12.55              8.86              7.97             53.63
256                    12.06              8.38              7.51             51.02
512                    13.35              9.26              8.38             51.16
1024                   14.83             10.43              9.43             53.30
2048                   14.29             10.14              9.19             54.79
4096                   16.52             11.86             10.83             56.91
8192                   21.91             15.55             14.32             55.57
16384                  32.21             21.27             19.74             44.60
32768                 108.20             62.28             58.44             21.43
65536                 139.26             77.93             73.27             16.30
131072                206.87            116.83            109.99             18.14
262144                321.05            178.83            168.42             15.55
