1645103

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.33              8.40              7.51             47.60
2                      14.00              9.42              8.52             46.15
4                      13.63              9.80              8.91             57.02
8                      13.13              8.85              8.07             46.97
16                     11.82              8.10              7.27             48.72
32                     11.88              7.97              7.19             45.59
64                     12.03              8.28              7.47             49.87
128                    12.60              8.53              7.70             47.08
256                    12.94              8.95              8.07             50.63
512                    12.81              8.67              7.79             46.89
1024                   14.12              9.69              8.75             49.37
2048                   14.72             10.18              9.20             50.60
4096                   16.99             12.18             11.13             56.84
8192                   22.50             16.42             15.15             59.82
16384                  32.57             21.65             20.06             45.55
32768                 111.11             63.94             60.02             21.41
65536                 140.93             79.94             75.10             18.78
131072                204.52            113.20            106.57             14.31
262144                330.68            184.22            173.64             15.66
