1637138

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.69              8.60              7.70             46.90
2                      12.75              8.47              7.61             43.79
4                      12.51              8.58              7.70             49.02
8                      12.20              8.44              7.49             49.79
16                     12.06              8.49              7.61             52.97
32                     11.86              8.26              7.43             51.53
64                     12.27              8.22              7.36             44.99
128                    12.22              8.48              7.71             51.56
256                    12.00              8.24              7.42             49.26
512                    13.15              9.04              8.16             49.58
1024                   13.47              9.28              8.31             49.51
2048                   14.37             10.07              9.15             53.04
4096                   16.89             11.91             10.87             54.18
8192                   22.09             15.74             14.45             56.00
16384                  33.50             22.16             20.58             44.88
32768                 112.87             62.86             59.01             15.26
65536                 141.70             81.21             76.35             20.76
131072                207.55            118.16            111.00             19.46
262144                320.26            178.66            168.40             15.92
