1641147

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.93              8.40              7.54             53.22
2                      11.71              8.22              7.36             52.60
4                      11.99              7.86              7.03             41.21
8                      11.73              8.18              7.36             51.73
16                     12.17              8.46              7.62             51.25
32                     12.23              8.32              7.48             47.68
64                     12.17              8.38              7.53             49.58
128                    12.14              8.54              7.76             53.67
256                    12.75              8.75              7.88             49.16
512                    13.05              9.02              8.11             50.29
1024                   12.82              9.02              8.17             53.52
2048                   14.28              9.89              8.95             50.92
4096                   17.23             12.44             11.35             57.75
8192                   22.68             16.04             14.79             55.10
16384                  33.67             22.19             20.64             44.32
32768                 110.00             63.54             59.61             22.06
65536                 139.40             78.20             73.50             16.72
131072                204.41            116.21            109.38             19.36
262144                325.80            184.02            173.40             18.23
