1644270

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.99              8.92              8.03             49.31
2                      11.44              7.99              7.27             52.47
4                      11.59              7.98              7.10             49.27
8                      11.07              7.72              6.89             51.29
16                     11.32              7.79              6.96             49.32
32                     12.02              8.41              7.57             52.39
64                     11.88              8.17              7.33             49.40
128                    12.29              8.50              7.65             50.36
256                    11.54              8.13              7.33             53.48
512                    12.10              8.66              7.77             55.75
1024                   12.92              9.21              8.29             55.16
2048                   13.39              9.65              8.77             57.37
4096                   16.30             11.56             10.56             55.18
8192                   21.45             15.12             13.90             54.43
16384                  32.58             21.77             20.20             46.49
32768                 109.69             62.44             58.68             19.48
65536                 141.74             79.67             74.71             16.91
131072                203.84            115.08            108.35             18.08
262144                332.18            185.65            174.78             16.17
