1635615

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.60              8.79              7.92             51.96
2                      12.39              8.69              7.87             52.96
4                      12.31              8.19              7.32             43.72
8                      11.33              7.93              7.07             51.96
16                     11.63              8.16              7.31             52.56
32                     12.63              8.80              7.95             51.80
64                     12.35              8.37              7.49             46.85
128                    12.04              8.32              7.57             50.90
256                    12.43              8.57              7.77             50.22
512                    13.21              8.85              7.99             45.46
1024                   13.24              9.21              8.34             51.56
2048                   14.13             10.03              9.06             54.76
4096                   17.52             12.18             11.12             51.98
8192                   22.86             16.05             14.74             53.83
16384                  33.52             22.26             20.65             45.51
32768                 109.30             63.25             59.36             22.43
65536                 142.86             82.29             77.21             21.56
131072                202.28            113.10            106.39             16.18
262144                327.20            185.43            174.52             18.77
