1645220

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.22              8.46              7.72             51.42
2                      12.34              8.73              7.79             53.65
4                      12.83              8.73              7.89             48.02
8                      12.35              8.34              7.49             46.42
16                     13.22              9.19              8.32             51.56
32                     12.83              8.84              7.98             49.94
64                     12.22              8.08              7.28             43.18
128                    11.69              8.24              7.44             53.66
256                    11.98              8.44              7.61             53.58
512                    12.18              8.69              7.85             55.54
1024                   12.98              9.20              8.30             54.50
2048                   14.20             10.03              9.08             54.13
4096                   16.44             11.70             10.74             55.83
8192                   21.90             15.33             14.12             53.48
16384                  32.57             21.08             19.47             41.04
32768                 110.21             64.22             60.22             23.63
65536                 140.19             79.50             74.62             18.67
131072                206.00            114.92            108.19             15.82
262144                322.50            181.55            171.12             17.63
