1642575

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.26              8.66              7.79             53.81
2                      12.68              8.39              7.51             42.81
4                      11.69              8.21              7.41             53.07
8                      12.16              8.38              7.52             49.71
16                     11.73              7.97              7.14             47.28
32                     13.04              8.69              7.92             45.02
64                     12.78              9.00              8.20             53.92
128                    12.20              8.45              7.66             50.95
256                    12.51              8.71              7.85             51.63
512                    13.36              8.94              8.01             44.71
1024                   13.96              9.61              8.77             50.38
2048                   14.53             10.26              9.30             54.10
4096                   17.62             12.45             11.39             54.54
8192                   22.63             16.10             14.80             55.91
16384                  33.96             22.24             20.58             43.03
32768                 110.22             61.85             58.04             16.65
65536                 140.34             80.35             75.49             20.53
131072                206.17            115.44            108.52             16.40
262144                327.00            184.16            173.46             17.65
