1643958

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.37              8.53              7.69             50.10
2                      12.34              8.43              7.60             48.61
4                      12.33              8.39              7.50             47.59
8                      11.83              8.28              7.42             52.08
16                     11.18              7.62              6.90             48.37
32                     11.92              8.45              7.64             54.57
64                     11.20              7.84              7.06             52.41
128                    11.22              7.94              7.22             54.48
256                    11.40              8.22              7.45             57.24
512                    11.83              8.35              7.51             53.61
1024                   12.20              8.78              7.91             56.77
2048                   13.77              9.83              8.93             55.94
4096                   16.03             11.44             10.43             56.00
8192                   21.76             15.11             13.88             52.11
16384                  31.37             20.12             18.65             39.65
32768                 116.71             63.55             59.63             10.85
65536                 139.20             79.64             74.76             20.33
131072                204.39            115.27            108.47             17.84
262144                326.92            184.08            173.30             17.58
