1637353

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.08              8.43              7.60             51.97
2                      12.54              8.27              7.48             42.93
4                      12.67              8.51              7.68             45.92
8                      13.05              9.33              8.42             55.82
16                     12.59              8.64              7.78             49.28
32                     12.71              8.75              8.00             50.45
64                     12.83              8.88              8.02             50.72
128                    11.75              8.01              7.25             48.38
256                    12.69              8.85              8.06             52.37
512                    13.27              9.04              8.15             48.03
1024                   13.57              9.51              8.68             53.19
2048                   15.00             10.78              9.83             57.11
4096                   16.78             11.80             10.82             54.01
8192                   22.44             15.78             14.59             54.39
16384                  33.65             22.51             20.87             46.61
32768                 108.36             61.12             57.34             17.61
65536                 141.80             80.90             76.05             19.92
131072                202.59            114.91            108.17             18.94
262144                332.29            185.53            174.93             16.11
