1643393

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.65              8.99              8.15             55.05
2                      11.53              7.63              6.87             43.12
4                      12.33              8.66              7.75             52.63
8                      12.01              8.20              7.35             48.10
16                     12.09              8.39              7.59             51.28
32                     12.16              8.48              7.69             52.04
64                     11.79              8.32              7.50             53.77
128                    12.29              8.64              7.81             53.27
256                    12.18              8.68              7.80             55.06
512                    12.73              8.89              7.98             51.79
1024                   12.29              8.64              7.85             53.44
2048                   14.58             10.40              9.49             55.89
4096                   16.64             11.75             10.73             54.40
8192                   21.59             15.17             13.92             53.87
16384                  33.46             21.97             20.35             43.52
32768                 110.57             62.63             58.80             18.47
65536                 141.89             80.34             75.49             18.47
131072                204.62            114.06            107.43             15.70
262144                322.87            179.30            169.01             15.05
