1635924

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.64              8.47              7.62             45.28
2                      12.47              8.59              7.70             49.67
4                      12.09              8.34              7.48             49.95
8                      12.12              8.25              7.42             47.89
16                     12.39              8.75              7.90             53.97
32                     12.48              8.44              7.61             46.93
64                     12.78              8.56              7.75             45.61
128                    12.43              8.68              7.84             52.12
256                    12.21              8.54              7.80             52.99
512                    12.66              8.78              7.97             51.31
1024                   13.49              9.31              8.47             50.59
2048                   13.96              9.87              8.92             54.08
4096                   16.27             11.46             10.45             53.92
8192                   21.82             15.57             14.27             56.22
16384                  32.68             21.77             20.16             45.90
32768                 107.96             63.04             59.19             24.11
65536                 143.24             81.68             76.75             19.79
131072                210.53            119.96            112.88             19.77
262144                327.30            182.96            172.32             16.23
