1642924

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.93              8.94              8.04             50.36
2                      12.44              8.62              7.81             51.11
4                      12.51              8.22              7.38             41.89
8                      12.13              7.86              7.06             39.57
16                     12.37              8.35              7.54             46.69
32                     12.81              8.85              8.01             50.60
64                     12.42              8.76              7.89             53.69
128                    11.88              8.19              7.37             49.94
256                    12.12              8.50              7.68             52.87
512                    13.11              9.18              8.29             52.63
1024                   12.98              9.31              8.45             56.52
2048                   14.29             10.27              9.25             56.58
4096                   16.89             12.10             11.02             56.55
8192                   21.65             15.24             13.98             54.16
16384                  32.12             21.33             19.71             45.23
32768                 108.75             63.24             59.40             23.38
65536                 141.75             82.26             77.21             22.95
131072                198.34            112.56            105.94             19.03
262144                327.71            183.42            172.77             16.49
