1643041

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.23              8.87              8.01             45.68
2                      13.06              9.27              8.50             55.40
4                      11.90              8.07              7.25             47.29
8                      12.15              8.34              7.47             49.00
16                     11.78              8.30              7.47             53.38
32                     11.77              8.26              7.46             52.88
64                     11.29              8.01              7.22             54.52
128                    11.55              7.98              7.19             50.31
256                    12.31              8.47              7.60             49.42
512                    12.10              8.48              7.70             53.05
1024                   12.69              8.82              7.91             51.16
2048                   13.95              9.56              8.73             49.59
4096                   17.11             12.49             11.41             59.50
8192                   21.75             15.63             14.38             57.48
16384                  33.39             22.24             20.61             45.91
32768                 105.46             61.23             57.48             23.05
65536                 142.27             80.21             75.31             17.59
131072                203.43            114.82            108.02             17.97
262144                319.83            178.73            168.48             16.25
