1644754

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.53              9.40              8.53             51.54
2                      12.68              8.44              7.60             44.19
4                      13.21              9.43              8.56             55.87
8                      12.32              8.37              7.49             47.23
16                     11.96              8.45              7.64             54.03
32                     11.47              8.03              7.27             52.71
64                     12.71              8.52              7.70             45.67
128                    11.63              8.29              7.50             55.46
256                    12.28              8.52              7.70             51.25
512                    13.20              8.69              7.86             42.67
1024                   13.62              9.94              8.99             59.08
2048                   14.36             10.31              9.33             56.61
4096                   16.45             11.64             10.60             54.59
8192                   21.88             15.63             14.34             56.39
16384                  32.10             22.00             20.37             50.43
32768                 109.99             62.56             58.73             19.25
65536                 144.05             81.54             76.60             18.39
131072                207.20            116.84            109.97             17.83
262144                333.47            186.26            175.57             16.16
