1643741

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.45              9.40              8.52             52.57
2                      13.25              9.08              8.21             49.20
4                      12.86              8.66              7.82             46.36
8                      11.94              8.49              7.69             55.15
16                     11.11              7.96              7.11             55.58
32                     11.56              8.09              7.26             52.30
64                     11.49              7.98              7.17             51.12
128                    12.04              8.27              7.53             49.97
256                    12.18              8.51              7.64             51.97
512                    13.15              9.30              8.40             54.16
1024                   13.63              9.48              8.56             51.47
2048                   14.21             10.16              9.19             55.93
4096                   16.31             11.65             10.58             55.95
8192                   22.06             15.42             14.18             53.20
16384                  34.04             22.78             21.05             46.53
32768                 110.91             61.67             57.89             14.96
65536                 139.03             80.44             75.47             22.36
131072                202.16            113.86            107.06             17.52
262144                328.02            186.20            175.50             19.19
