1643256

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.65              9.89              8.98             58.13
2                      13.22              8.65              7.74             40.95
4                      12.32              8.42              7.55             48.36
8                      11.85              8.02              7.18             46.68
16                     11.30              8.01              7.21             54.28
32                     12.39              8.41              7.55             47.23
64                     13.37              8.41              7.61             34.85
128                    13.20              8.87              8.00             45.90
256                    13.52              9.34              8.45             50.47
512                    13.08              9.34              8.47             55.87
1024                   13.11              8.93              8.07             48.32
2048                   14.42             10.12              9.20             53.21
4096                   16.61             11.56             10.57             52.23
8192                   21.71             15.46             14.30             56.28
16384                  32.10             21.24             19.65             44.75
32768                 108.56             62.16             58.35             20.48
65536                 138.28             79.13             74.35             20.46
131072                207.28            116.83            110.00             17.76
262144                336.61            186.94            176.09             15.01
