1643515

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.93              8.94              8.09             50.67
2                      11.99              8.15              7.33             47.63
4                      12.38              8.53              7.63             49.45
8                      12.44              8.67              7.75             51.37
16                     12.30              8.31              7.46             46.54
32                     12.01              8.41              7.61             52.69
64                     12.37              8.33              7.53             46.43
128                    12.71              8.81              7.96             50.91
256                    12.12              8.36              7.51             49.93
512                    12.29              8.81              7.92             56.08
1024                   12.95              9.11              8.24             53.48
2048                   13.68              9.66              8.75             53.98
4096                   16.40             11.61             10.58             54.76
8192                   21.21             14.86             13.67             53.52
16384                  32.61             21.45             19.93             44.02
32768                 108.19             61.13             57.40             18.01
65536                 141.86             82.11             77.18             22.58
131072                203.39            115.62            108.88             19.38
262144                325.94            185.68            174.99             19.84
