
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      20.56             18.91             17.42             90.52
2                      10.73              8.39              7.57             69.09
4                      10.82              8.96              8.12             77.13
8                      10.58              8.34              7.48             70.05
16                     10.63              8.06              7.28             64.70
32                     10.55              8.08              7.28             66.13
64                     10.87              8.10              7.31             62.11
128                    11.78              8.96              8.08             65.05
256                    19.47             12.64             11.56             40.91
512                    19.62             12.79             11.68             41.45
1024                   19.88             12.91             11.80             40.91
2048                   20.72             13.53             12.38             41.97
4096                   21.45             13.83             12.67             39.86
8192                   23.01             15.38             14.12             45.95
16384                  31.28             24.18             22.39             68.30
32768                  57.50             40.48             37.65             54.78
65536                  78.79             57.39             53.56             60.05
131072                126.71             96.59             90.35             66.67
262144                223.98            172.58            161.64             68.20
