
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      22.21             20.61             19.04             91.60
2                      10.80              8.30              7.43             66.43
4                      10.66              8.72              7.90             75.50
8                      10.44              8.09              7.30             67.75
16                     10.64              8.07              7.28             64.62
32                     10.63              8.34              7.50             69.53
64                     10.60              8.36              7.54             70.24
128                    11.74              9.03              8.15             66.81
256                    19.49             12.53             11.46             39.28
512                    19.65             12.70             11.59             40.04
1024                   19.93             13.05             11.94             42.46
2048                   20.76             13.53             12.40             41.68
4096                   21.11             13.89             12.71             43.19
8192                   22.92             15.31             14.07             45.93
16384                  26.76             18.33             16.88             50.05
32768                  55.00             39.45             36.73             57.66
65536                  77.41             57.33             53.50             62.47
131072                126.86             96.46             90.21             66.30
262144                224.62            173.02            162.07             68.16
