
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      19.15             17.39             15.95             89.01
2                      10.67              8.28              7.43             67.77
4                      10.71              8.83              7.97             76.40
8                      10.44              8.04              7.25             66.88
16                     10.68              8.09              7.29             64.51
32                     10.61              8.21              7.37             67.48
64                     10.47              8.11              7.31             67.73
128                    11.71              9.02              8.14             66.93
256                    19.41             12.49             11.42             39.47
512                    19.84             12.69             11.59             38.31
1024                   19.97             12.93             11.83             40.45
2048                   20.77             13.44             12.30             40.35
4096                   21.12             14.06             12.89             45.26
8192                   22.87             15.31             14.06             46.28
16384                  26.80             18.25             16.80             49.08
32768                  55.27             39.81             37.05             58.28
65536                  77.34             57.41             53.55             62.78
131072                126.90             96.24             90.00             65.93
262144                225.29            173.51            162.53             68.14
