
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      18.65             17.08             15.72             90.04
2                      10.77              8.31              7.46             67.05
4                      10.74              8.85              8.02             76.53
8                      10.59              8.18              7.36             67.25
16                     10.66              8.10              7.31             64.94
32                     10.63              8.33              7.49             69.32
64                     10.51              8.31              7.47             70.53
128                    11.88              9.19              8.31             67.71
256                    19.46             12.54             11.48             39.72
512                    19.69             12.71             11.61             39.94
1024                   19.95             12.96             11.85             41.01
2048                   20.81             13.56             12.40             41.48
4096                   21.12             13.96             12.77             43.89
8192                   22.89             15.28             14.03             45.78
16384                  26.75             18.33             16.88             50.09
32768                  54.86             39.59             36.85             58.56
65536                  77.50             57.38             53.55             62.43
131072                126.77             96.48             90.23             66.43
262144                225.21            173.51            162.53             68.19
