
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      20.56             18.74             17.26             89.49
2                      10.68              8.26              7.43             67.39
4                      10.63              8.73              7.90             75.83
8                      10.43              8.08              7.29             67.73
16                     10.85              8.04              7.25             61.30
32                     10.60              8.09              7.29             65.65
64                     11.16              8.08              7.27             57.56
128                    11.71              9.03              8.16             67.20
256                    19.50             12.51             11.43             38.83
512                    19.64             13.06             11.93             44.88
1024                   19.90             12.94             11.85             41.32
2048                   20.79             13.61             12.46             42.42
4096                   21.09             13.95             12.77             44.12
8192                   22.94             15.39             14.15             46.70
16384                  26.66             18.15             16.72             49.10
32768                  55.05             39.58             36.82             57.98
65536                  77.53             57.09             53.28             61.63
131072                126.66             96.10             89.89             66.01
262144                224.11            172.48            161.57             68.04
