
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      24.12             21.51             19.88             86.86
2                      10.98              8.32              7.46             64.30
4                      10.73              8.72              7.88             74.40
8                      10.49              8.10              7.30             67.35
16                     10.67              8.06              7.27             64.09
32                     10.58              8.08              7.29             65.73
64                     10.44              8.18              7.36             69.21
128                    11.80              8.99              8.10             65.35
256                    19.74             12.52             11.44             36.88
512                    19.58             12.62             11.55             39.75
1024                   20.00             12.88             11.79             39.57
2048                   20.67             13.45             12.32             41.36
4096                   21.08             13.90             12.73             43.55
8192                   23.13             15.37             14.13             45.08
16384                  26.70             18.06             16.63             48.05
32768                  56.55             39.52             36.77             53.68
65536                  77.35             57.26             53.41             62.38
131072                126.67             96.12             89.88             66.01
262144                223.78            172.20            161.30             68.02
