
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      21.38             19.41             17.90             89.00
2                      10.97              8.48              7.63             67.29
4                      10.66              8.76              7.92             76.08
8                      10.41              8.06              7.26             67.66
16                     10.61              8.05              7.27             64.82
32                     10.57              8.11              7.32             66.47
64                     10.46              8.17              7.36             68.92
128                    11.70              9.06              8.18             67.74
256                    19.43             12.53             11.43             39.62
512                    19.58             12.63             11.56             39.90
1024                   19.89             12.93             11.82             41.14
2048                   20.61             13.44             12.32             41.80
4096                   21.27             13.83             12.66             41.18
8192                   22.90             15.36             14.13             46.64
16384                  26.98             18.49             17.05             50.17
32768                  54.99             39.47             36.74             57.75
65536                  77.18             57.20             53.35             62.54
131072                126.96             96.20             89.98             65.82
262144                224.55            172.99            162.05             68.18
