
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      20.46             18.84             17.35             90.70
2                      11.08              8.30              7.46             62.74
4                      10.74              8.88              8.05             76.88
8                      10.49              8.10              7.30             67.30
16                     10.69              8.15              7.34             65.29
32                     10.56              8.05              7.27             65.49
64                     10.47              8.15              7.35             68.48
128                    11.69              9.00              8.12             66.90
256                    19.52             12.49             11.43             38.54
512                    19.62             12.66             11.57             39.85
1024                   19.99             12.92             11.82             40.15
2048                   20.64             13.54             12.37             42.62
4096                   21.21             13.97             12.79             43.37
8192                   23.04             15.36             14.10             45.57
16384                  26.72             18.19             16.76             49.06
32768                  55.30             39.36             36.63             56.47
65536                  77.36             57.34             53.48             62.55
131072                126.77             96.24             89.99             66.08
262144                225.13            173.35            162.38             68.11
