1370368

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      17.02             11.84             10.12             48.83
2                      28.03             11.76             10.05              0.00
4                      34.19             23.05             19.87             43.94
8                      41.00             17.73             15.23              0.00
16                     23.66              9.96              8.49              0.00
32                     15.77             10.37              8.84             38.91
64                     34.09             15.67             13.46              0.00
128                    40.00             22.39             19.28              8.68
256                    40.62             18.92             16.27              0.00
512                    37.27             18.11             15.56              0.00
1024                   32.13             19.55             16.83             25.26
2048                   29.02             18.81             16.18             36.86
4096                   57.53             29.49             25.46              0.00
8192                   60.41             32.40             27.98              0.00
16384                 132.26             61.37             53.08              0.00
32768                  80.81             46.79             40.41             15.82
65536                 244.99            113.52             97.86              0.00
131072                357.81            219.40            190.25             27.25
262144                579.58            298.07            258.75              0.00
