1370256

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      18.66             14.24             12.21             63.84
2                      17.11             11.71             10.01             46.10
4                      11.21              7.64              6.46             44.60
8                      11.75              8.26              7.01             50.18
16                     17.05              8.33              7.08              0.00
32                     19.80              8.62              7.32              0.00
64                     29.52             21.45             18.48             56.34
128                    61.11             30.37             26.21              0.00
256                    96.53             55.34             47.96             14.12
512                    35.78             21.42             18.45             22.14
1024                   30.68             16.69             14.34              2.45
2048                   36.57             20.41             17.54              7.89
4096                   53.84             31.25             26.99             16.32
8192                   43.31             26.24             22.63             24.56
16384                  56.67             33.16             28.55             17.66
32768                 116.09             69.33             60.08             22.17
65536                 211.48            108.79             94.43              0.00
131072                330.91            202.85            176.23             27.34
262144                839.95            388.53            337.46              0.00
