1371523

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      15.42              7.57              6.37              0.00
2                      13.50              8.12              6.90             22.09
4                      23.65             12.19             10.43              0.00
8                      12.81              7.76              6.58             23.17
16                     16.69             10.69              9.13             34.24
32                     35.60             14.08             12.07              0.00
64                     34.22             25.24             21.78             58.77
128                    42.11             17.56             15.10              0.00
256                    71.45             42.51             36.81             21.39
512                    45.09             24.68             21.28              4.10
1024                   29.29             16.84             14.46             13.86
2048                   29.68             17.19             14.75             15.33
4096                   49.76             27.49             23.72              6.11
8192                   59.77             37.67             32.59             32.16
16384                 114.81             46.21             39.98              0.00
32768                  78.70             47.10             40.77             22.49
65536                 166.50             92.86             80.69              8.74
131072                317.92            178.20            154.84              9.77
262144                634.01            305.16            264.99              0.00
