1371283

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      22.39             14.64             12.56             38.30
2                      18.47             11.95             10.22             36.18
4                      13.30              8.92              7.58             42.18
8                      30.62              7.75              6.56              0.00
16                     30.16             18.34             15.76             25.03
32                     16.05              9.20              7.83             12.48
64                     39.34             17.46             15.00              0.00
128                    24.35             15.76             13.53             36.48
256                    34.42             15.51             13.31              0.00
512                    27.44             14.99             12.86              3.23
1024                   26.06             16.88             14.49             36.62
2048                   27.79             16.73             14.36             23.00
4096                   37.09             22.33             19.23             23.21
8192                   55.92             33.26             28.74             21.15
16384                  69.48             37.45             32.38              1.08
32768                  73.52             46.59             40.31             33.18
65536                 121.49             75.70             65.60             30.19
131072                227.15            132.96            115.37             18.36
262144                769.34            441.44            383.15             14.42
