1370932

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.95              9.74              8.30             49.18
2                      13.50              6.77              5.71              0.00
4                      13.10              9.55              8.13             56.35
8                      12.23              9.36              7.96             63.93
16                     16.56              8.39              7.11              0.00
32                     11.67              8.04              6.81             46.66
64                     16.18              8.58              7.29              0.00
128                    25.73             14.38             12.32              7.96
256                    35.62             21.50             18.51             23.67
512                    38.64             23.47             20.23             25.02
1024                   32.35             15.46             13.27              0.00
2048                   40.03             23.90             20.60             21.71
4096                   41.27             25.17             21.71             25.84
8192                   43.02             27.26             23.49             32.90
16384                  50.68             33.25             28.73             39.33
32768                  72.69             46.19             39.97             33.71
65536                 115.92             71.98             62.36             29.55
131072                206.93            122.81            106.39             20.94
262144                581.82            300.19            260.60              0.00
