1371636

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      20.48             16.34             14.03             70.50
2                      27.96             18.25             15.70             38.16
4                      11.18              7.77              6.59             48.21
8                      27.69             13.15             11.26              0.00
16                     49.98             13.73             11.77              0.00
32                     72.38             51.19             44.37             52.24
64                     16.49             11.27              9.62             45.65
128                    38.30             17.33             14.86              0.00
256                    77.95             51.69             44.77             41.35
512                    42.82             28.81             24.86             43.63
1024                   56.94             34.57             29.85             25.08
2048                   35.74             23.14             19.94             36.84
4096                   46.91             21.80             18.78              0.00
8192                   40.84             27.21             23.48             41.97
16384                  56.16             35.12             30.35             30.64
32768                  78.17             50.97             43.98             38.16
65536                 118.56             74.20             64.32             31.03
131072                228.47            128.90            111.87             11.00
262144                638.22            301.39            261.75              0.00
