1402647

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      65.29
2                      21.11
4                      20.72
8                      24.45
16                     26.04
32                     26.09
64                     20.33
128                    27.55
256                    22.91
512                    26.04
1024                   26.60
2048                   31.77
4096                   42.17
8192                  193.96
16384                  70.90
32768                 116.96
65536                 216.93
131072                384.97
262144               3915.58
