1374440

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.61
2                      20.36
4                      30.01
8                      20.83
16                     40.91
32                     45.42
64                     45.43
128                    32.77
256                    40.26
512                    35.17
1024                   43.80
2048                   42.05
4096                   38.38
8192                  171.83
16384                  72.97
32768                 115.81
65536                 204.46
131072                375.69
262144               4168.76
