1372773

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.42
2                      20.90
4                      25.86
8                      23.62
16                     33.64
32                     28.64
64                     29.13
128                    29.17
256                    20.41
512                    24.12
1024                   22.19
2048                   32.58
4096                   37.44
8192                  180.38
16384                  89.86
32768                 125.07
65536                 205.94
131072                380.21
262144               4018.52
