1377762

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      15.44
2                      19.95
4                      19.44
8                      22.84
16                     19.54
32                     28.46
64                     20.99
128                    28.34
256                    28.28
512                    23.40
1024                   37.99
2048                   40.85
4096                   36.98
8192                  186.72
16384                  75.57
32768                 125.61
65536                 202.80
131072                372.07
262144               3452.37
