1396011

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.34
2                      24.85
4                      21.26
8                      22.98
16                     20.84
32                     25.11
64                     32.71
128                    22.42
256                    26.16
512                    30.10
1024                   32.23
2048                   29.89
4096                   34.00
8192                  173.27
16384                  66.76
32768                 115.61
65536                 210.99
131072                383.59
262144               4126.63
