1412796

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.05
2                      33.98
4                      22.06
8                      22.52
16                     21.30
32                     20.50
64                     18.77
128                    20.46
256                    29.22
512                    22.09
1024                   29.38
2048                   34.36
4096                   41.62
8192                  184.26
16384                  79.35
32768                 119.82
65536                 194.82
131072                374.98
262144               3339.68
