1376108

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.61
2                      21.98
4                      30.28
8                      21.84
16                     17.35
32                     20.37
64                     33.58
128                    30.96
256                    26.73
512                    31.45
1024                   34.46
2048                   33.45
4096                   36.78
8192                  162.90
16384                  86.23
32768                 116.42
65536                 204.07
131072                391.27
262144               3666.78
