1384398

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      26.18
2                      30.57
4                      19.59
8                      16.74
16                     31.57
32                     22.87
64                     23.08
128                    26.45
256                    24.54
512                    23.16
1024                   26.29
2048                   47.20
4096                   37.90
8192                  207.23
16384                  67.35
32768                 118.11
65536                 204.44
131072                375.20
262144               3815.16
