1180743

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.52
2                       1.56
4                       1.49
8                       1.55
16                      1.86
32                      1.91
64                      1.91
128                     4.56
256                     4.61
512                     4.70
1024                    4.77
2048                    5.18
4096                    6.39
8192                    6.27
16384                   8.50
32768                  12.66
65536                  20.81
131072                 36.64
262144                 82.94
