1181553

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.54
2                       1.58
4                       1.52
8                       1.57
16                      1.92
32                      1.95
64                      1.97
128                     4.54
256                     4.58
512                     4.67
1024                    4.72
2048                    5.13
4096                    6.26
8192                    6.28
16384                   8.46
32768                  12.58
65536                  20.66
131072                 36.39
262144                 82.82
