1181315

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.49
2                       1.54
4                       1.49
8                       1.54
16                      1.82
32                      1.88
64                      1.90
128                     4.46
256                     4.52
512                     4.64
1024                    4.76
2048                    5.15
4096                    6.32
8192                    6.26
16384                   8.50
32768                  12.70
65536                  20.87
131072                 36.67
262144                 83.19
