1181976

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.56
2                       1.60
4                       1.54
8                       1.60
16                      1.92
32                      1.95
64                      1.98
128                     4.56
256                     4.58
512                     4.67
1024                    4.75
2048                    5.17
4096                    6.34
8192                    6.29
16384                   8.55
32768                  12.81
65536                  20.94
131072                 36.69
262144                 82.85
