1180878

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.55
2                       1.60
4                       1.54
8                       1.59
16                      1.90
32                      1.94
64                      1.96
128                     4.58
256                     4.61
512                     4.70
1024                    4.76
2048                    5.18
4096                    6.34
8192                    6.30
16384                   8.57
32768                  12.76
65536                  20.94
131072                 37.09
262144                 83.96
