1181374

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.55
2                       1.59
4                       1.52
8                       1.59
16                      1.90
32                      1.93
64                      1.95
128                     4.54
256                     4.57
512                     4.69
1024                    4.77
2048                    5.19
4096                    6.34
8192                    6.30
16384                   8.54
32768                  12.78
65536                  20.95
131072                 37.02
262144                 84.05
