1181619

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.54
2                       1.58
4                       1.52
8                       1.58
16                      1.89
32                      1.92
64                      1.95
128                     4.59
256                     4.62
512                     4.69
1024                    4.77
2048                    5.16
4096                    6.29
8192                    6.30
16384                   8.52
32768                  12.87
65536                  20.75
131072                 36.42
262144                 83.58
