1181859

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.55
2                       1.59
4                       1.53
8                       1.59
16                      1.90
32                      1.92
64                      1.94
128                     4.56
256                     4.58
512                     4.67
1024                    4.74
2048                    5.15
4096                    6.34
8192                    6.29
16384                   8.51
32768                  12.76
65536                  20.95
131072                 37.01
262144                 83.64
