1181677

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.56
2                       1.61
4                       1.54
8                       1.60
16                      1.91
32                      1.94
64                      1.96
128                     4.58
256                     4.62
512                     4.72
1024                    4.77
2048                    5.16
4096                    6.32
8192                    6.31
16384                   8.52
32768                  12.75
65536                  20.98
131072                 36.82
262144                 83.75
