638417

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.28
2                       5.27
4                       5.25
8                       5.19
16                      5.40
32                      5.73
64                      5.94
128                     6.04
256                     6.34
512                     7.08
1024                    8.98
2048                   10.50
4096                   14.27
8192                   22.02
16384                  47.71
32768                  84.61
65536                 149.31
131072                321.45
262144                654.47
