651399

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.33
2                       5.34
4                       5.35
8                       5.24
16                      5.28
32                      5.84
64                      6.04
128                     6.27
256                     6.59
512                     7.13
1024                    8.93
2048                   10.57
4096                   14.38
8192                   22.14
16384                  47.91
32768                  84.66
65536                 145.50
131072                317.94
262144                643.69
