634763

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.89
2                       5.87
4                       5.85
8                       5.79
16                      5.79
32                      6.42
64                      6.61
128                     6.74
256                     6.98
512                     7.57
1024                    9.37
2048                   10.60
4096                   14.10
8192                   21.86
16384                  47.79
32768                  84.56
65536                 151.03
131072                315.01
262144                650.89
