648718

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.73
2                       5.85
4                       5.79
8                       6.01
16                      5.90
32                      6.33
64                      6.63
128                     6.71
256                     6.96
512                     7.52
1024                    9.30
2048                   10.55
4096                   14.24
8192                   21.95
16384                  47.55
32768                  84.23
65536                 150.22
131072                316.78
262144                653.55
