655778

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.40
2                       5.55
4                       5.61
8                       5.77
16                      5.72
32                      6.18
64                      6.44
128                     6.42
256                     6.71
512                     7.27
1024                    9.08
2048                   10.60
4096                   14.34
8192                   22.04
16384                  47.75
32768                  84.53
65536                 150.55
131072                315.81
262144                652.78
