637564

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.59
2                       5.52
4                       5.59
8                       5.48
16                      5.58
32                      6.07
64                      6.49
128                     6.51
256                     6.88
512                     7.36
1024                    9.25
2048                   10.58
4096                   14.29
8192                   22.00
16384                  47.72
32768                  84.48
65536                 148.51
131072                320.89
262144                657.87
