642434

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.44
2                       5.54
4                       5.54
8                       5.49
16                      5.48
32                      5.90
64                      6.05
128                     6.17
256                     6.44
512                     7.38
1024                    9.20
2048                   10.56
4096                   14.35
8192                   22.01
16384                  47.90
32768                  84.54
65536                 149.90
131072                320.12
262144                654.89
