649587

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.48
2                       5.66
4                       5.68
8                       5.70
16                      5.71
32                      6.17
64                      6.61
128                     6.70
256                     6.97
512                     7.57
1024                    9.32
2048                   10.72
4096                   14.34
8192                   22.00
16384                  47.69
32768                  84.42
65536                 149.25
131072                316.85
262144                651.89
