645197

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.58
2                       5.53
4                       5.54
8                       5.56
16                      5.57
32                      6.07
64                      6.24
128                     6.37
256                     6.58
512                     7.32
1024                    9.07
2048                   10.58
4096                   14.24
8192                   21.91
16384                  47.83
32768                  84.44
65536                 146.11
131072                320.60
262144                652.12
