650534

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.29
2                       5.37
4                       5.22
8                       5.27
16                      5.26
32                      5.76
64                      5.85
128                     6.06
256                     6.23
512                     7.13
1024                    8.81
2048                   10.41
4096                   14.08
8192                   21.74
16384                  47.87
32768                  84.72
65536                 150.49
131072                318.99
262144                647.16
