1983389

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.26
2                       1.25
4                       1.25
8                       1.26
16                      1.25
32                      1.33
64                      1.33
128                     1.36
256                     1.40
512                     1.49
1024                    1.64
2048                    1.93
4096                    2.46
8192                    3.61
16384                   4.51
32768                  14.10
65536                  17.97
131072                 23.56
262144                 34.52
524288                 58.61
1048576               119.35
2097152               221.15
4194304               427.19
