1984476

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.26
2                       1.25
4                       1.26
8                       1.25
16                      1.25
32                      1.33
64                      1.34
128                     1.36
256                     1.40
512                     1.50
1024                    1.64
2048                    1.93
4096                    2.46
8192                    3.62
16384                   4.53
32768                  14.08
65536                  17.99
131072                 23.50
262144                 34.49
524288                 58.64
1048576               118.69
2097152               220.18
4194304               422.65
