1980669

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.25
2                       1.25
4                       1.25
8                       1.26
16                      1.25
32                      1.34
64                      1.34
128                     1.36
256                     1.40
512                     1.50
1024                    1.65
2048                    1.94
4096                    2.47
8192                    3.62
16384                   4.56
32768                  14.06
65536                  18.06
131072                 23.51
262144                 34.50
524288                 58.80
1048576               119.55
2097152               223.20
4194304               424.12
