1986107

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.26
2                       1.26
4                       1.25
8                       1.26
16                      1.26
32                      1.34
64                      1.33
128                     1.36
256                     1.40
512                     1.50
1024                    1.63
2048                    1.94
4096                    2.46
8192                    3.62
16384                   4.52
32768                  14.09
65536                  17.92
131072                 23.47
262144                 34.52
524288                 58.54
1048576               117.84
2097152               220.97
4194304               421.80
