1986648

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.26
2                       1.25
4                       1.25
8                       1.25
16                      1.25
32                      1.33
64                      1.34
128                     1.36
256                     1.40
512                     1.50
1024                    1.64
2048                    1.95
4096                    2.47
8192                    3.63
16384                   4.53
32768                  14.07
65536                  17.95
131072                 23.48
262144                 34.53
524288                 58.71
1048576               119.36
2097152               221.59
4194304               417.48
